#{"t_start": 1626353817.2431605, "env_id": null}
r,l,t
89.82111,580,73.993523
36.99473,481,74.432524
51.09817,481,74.432524
74.456985,675,74.751525
67.66496,675,74.751525
72.009766,675,75.174525
87.390114,675,75.174525
101.5233,675,75.366524
73.894554,675,75.366524
30.493889,63,75.423524
1.0051445,63,75.423524
43.27287,675,75.567523
91.080246,675,75.567523
59.261616,530,75.764036
48.658264,530,75.764036
47.946434,675,76.173036
60.099285,675,76.174035
49.648285,195,76.273037
14.791471,195,76.273037
102.74099,675,76.459548
70.29088,675,76.459548
133.44907,599,76.86106
88.76439,599,76.86106
62.304413,675,78.49306
32.838284,675,78.49306
51.903233,675,78.538061
102.31091,675,78.538061
153.01993,675,78.538061
70.64,675,78.538061
102.18027,675,78.538061
48.46993,675,78.538061
79.85973,675,78.538061
113.649445,675,78.538061
123.15394,675,78.68006
78.13467,675,78.68006
51.04061,675,79.21506
66.97497,675,79.21506
77.18684,675,79.52806
52.591003,675,79.52806
51.915524,329,80.565572
30.309359,329,80.565572
57.069942,675,80.945572
105.70593,675,80.945572
70.04864,675,80.989571
40.811726,675,80.989571
18.895657,308,81.358574
73.23563,308,81.358574
36.54068,675,81.358574
64.300606,675,81.358574
22.836872,364,81.589571
56.003204,364,81.589571
45.700012,675,82.74157
73.439804,675,82.74157
61.068855,675,83.307574
72.72308,675,83.307574
102.189575,675,83.694571
111.76673,675,83.694571
73.20238,675,84.26357
105.69078,675,84.26357
45.476597,675,84.395572
103.07693,675,84.395572
77.80735,675,84.775572
86.22501,675,84.775572
28.583956,512,85.054572
46.84586,512,85.054572
39.358894,369,85.513572
68.289154,369,85.513572
109.16203,675,85.567572
52.055367,675,85.567572
13.775537,455,85.90657
27.210896,455,85.90657
71.71712,675,86.02557
45.382263,675,86.02557
101.36653,675,86.301575
111.001434,675,86.301575
66.27227,675,86.446571
61.728416,675,86.446571
22.86976,70,86.75057
6.463891,70,86.75057
56.59228,675,87.08957
68.595215,675,87.08957
95.682526,675,87.179572
68.525375,675,87.179572
44.85871,573,87.817571
56.673775,573,87.817571
86.94312,575,87.98657
70.75673,575,87.98657
44.844048,317,88.426571
49.55964,317,88.426571
34.181053,229,88.76357
34.491066,229,88.76357
27.562733,208,89.317573
15.601169,208,89.317573
56.155754,675,89.345572
50.59938,675,89.345572
53.916428,675,89.398571
94.7297,675,89.39957
99.59723,675,89.39957
64.34222,675,89.39957
81.50551,675,90.092571
70.7543,675,90.092571
67.52347,464,99.423409
56.548237,464,99.423409
42.405247,675,99.700409
53.03274,675,99.700409
65.73842,669,99.979965
53.716007,669,99.979965
103.10783,675,100.105964
66.233284,675,100.105964
29.969585,121,100.294986
9.612843,121,100.294986
55.90225,675,100.474963
42.80682,675,100.474963
94.09351,675,100.474963
68.07283,675,100.474963
22.349682,244,100.55997
13.470358,244,100.55997
71.38713,675,100.687968
84.37596,675,100.687968
83.45177,374,101.285965
31.964895,374,101.285965
62.80839,675,101.840964
69.06351,675,101.840964
56.14342,344,102.532964
47.564587,344,102.532964
53.93943,305,102.562965
28.878899,305,102.562965
44.66869,675,103.382007
86.95801,675,103.382007
62.065075,675,103.505007
51.247974,675,103.505007
80.86122,675,103.902007
53.323933,675,103.902007
24.39921,232,104.213007
37.91739,232,104.213007
63.551765,675,104.596008
65.40852,675,104.596008
22.375006,443,104.698007
43.512512,443,104.698007
25.541245,189,104.863008
34.978558,189,104.863008
76.65626,675,104.973006
92.05905,675,104.973006
49.381977,675,105.342012
68.67847,675,105.342012
62.81418,675,105.506008
57.589497,675,105.506008
69.39422,675,105.790008
69.59329,675,105.790008
65.77962,675,106.199022
65.28257,675,106.199022
38.54965,675,106.828006
100.607956,675,106.828006
87.49447,675,107.002007
77.02692,675,107.002007
81.9407,675,108.303007
55.77408,675,108.304007
56.162056,675,108.348006
61.82069,675,108.348006
71.80438,675,110.304173
56.871582,675,110.304173
54.320038,675,110.591162
45.36951,675,110.591162
103.830666,675,110.84316
43.025112,675,110.84316
65.12441,675,110.981163
46.243057,675,110.981163
48.345413,675,111.17316
96.475365,675,111.17416
64.60352,675,111.339164
114.11528,675,111.339164
52.822334,675,111.418159
71.28195,675,111.418159
53.481148,675,111.55416
55.214417,675,111.55416
5.5842834,73,111.746163
27.97447,73,111.746163
87.94899,675,112.447165
41.604557,675,112.447165
77.784164,675,113.686163
59.99087,675,113.686163
109.603775,675,113.714164
101.217964,675,113.714164
56.16478,550,114.109162
122.0151,550,114.109162
114.60488,675,114.49516
98.07437,675,114.49516
33.296906,599,114.513161
88.95818,599,114.513161
119.87665,675,114.625161
60.515377,675,114.625161
76.15623,675,115.000235
92.74161,675,115.000235
70.859505,675,115.287235
138.89066,675,115.287235
52.421562,675,115.723797
39.8227,675,115.723797
61.113857,675,115.877302
138.18312,675,115.877302
94.90616,675,116.327302
87.434326,675,116.327302
48.274082,675,116.461308
62.596104,675,116.461308
46.202545,306,116.593303
19.600098,306,116.593303
59.96154,675,116.732302
58.65961,675,116.732302
62.808628,371,116.895307
35.68299,371,116.895307
31.586956,675,117.151821
63.055973,675,117.151821
72.11447,672,117.730821
84.023384,672,117.730821
54.551594,675,117.957822
71.55479,675,117.957822
35.732777,101,119.356821
9.295231,101,119.356821
62.408894,675,119.371824
56.928505,675,119.371824
52.238922,675,119.425822
58.624256,675,119.425822
63.127163,508,119.556822
56.73457,508,119.556822
40.102917,361,120.070821
34.541153,361,120.070821
32.691902,361,120.178822
25.974262,361,120.178822
23.320982,239,120.206821
57.82182,239,120.206821
25.956547,430,120.346821
59.49834,430,120.346821
33.093742,85,120.653823
10.294758,85,120.653823
38.727528,675,121.063824
73.455124,675,121.063824
40.307636,476,121.390822
25.04543,476,121.390822
76.560745,675,121.707821
41.63951,675,121.707821
63.105793,675,121.901823
87.06185,675,121.901823
73.718445,675,122.165822
99.683655,675,122.165822
55.37822,675,122.489821
70.3023,675,122.489821
70.62295,675,122.879821
93.27906,675,122.879821
53.150623,531,123.198822
94.22409,531,123.198822
6.9156966,173,123.363823
34.22196,173,123.363823
34.262733,243,124.011823
13.038375,243,124.011823
80.81265,675,124.145823
67.074036,675,124.145823
74.23766,675,125.23492
58.316467,675,125.23492
162.79068,638,125.483917
44.301994,638,125.483917
82.667564,586,126.350916
105.91186,586,126.350916
78.71783,675,126.525916
88.60603,675,126.525916
78.38582,675,126.668918
72.08108,675,126.668918
49.359676,606,126.90592
64.72894,606,126.90592
60.186157,675,127.144917
102.38123,675,127.144917
74.27413,675,127.424938
61.237602,675,127.424938
79.355255,675,127.589916
42.936512,675,127.589916
39.518665,344,127.657919
35.256596,344,127.657919
33.7554,216,127.817918
18.721884,216,127.817918
49.31829,360,128.179917
81.8492,360,128.179917
20.708353,675,128.861918
22.5109,675,128.861918
39.606144,80,128.876923
4.5819745,80,128.877918
21.492327,381,129.546917
82.727264,381,129.546917
36.224648,348,129.818917
57.021984,348,129.818917
96.34443,675,130.304917
83.60469,675,130.304917
104.99195,675,130.347917
44.656433,675,130.347917
77.06431,675,130.501916
21.88443,675,130.501916
76.9978,550,130.796918
104.83859,550,130.796918
51.97235,675,131.303918
77.25759,675,131.303918
81.75441,675,131.41092
56.05661,675,131.41092
97.312546,675,131.583918
71.28271,675,131.583918
80.34037,675,140.699918
79.904144,675,140.699918
40.47087,291,140.927917
33.105644,291,140.927917
85.46738,675,141.020916
72.87548,675,141.020916
47.27275,226,141.687918
14.06345,226,141.687918
20.288145,354,142.018919
49.998543,354,142.018919
61.189445,675,142.074918
55.0831,675,142.074918
97.59488,646,142.458919
65.83547,646,142.458919
66.15691,675,142.458919
69.43138,675,142.459923
35.317505,216,142.972438
26.825512,216,142.972438
5.709905,70,143.555436
14.514517,70,143.555436
8.936945,105,143.732435
21.98381,105,143.732435
58.152924,675,144.538435
66.512794,675,144.538435
86.91857,675,144.793436
59.3377,675,144.793436
32.421417,119,145.610435
13.459856,119,145.610435
72.45429,675,145.641434
39.28903,675,145.641434
67.63593,675,145.811434
62.016674,675,145.811434
76.82273,674,145.958437
67.1093,674,145.958437
39.450985,489,146.092448
86.211784,489,146.093436
32.415264,259,146.109434
16.635906,259,146.109434
59.894283,675,146.205435
44.256653,675,146.205435
79.29537,557,146.258436
66.33621,557,146.258436
63.998913,301,146.435437
27.581234,301,146.436435
65.77262,675,146.449437
74.21217,675,146.449437
52.55323,675,146.710436
72.38917,675,146.710436
62.504807,675,147.439436
91.61425,675,147.439436
4.7063174,65,147.465437
37.47109,65,147.465437
87.15597,675,148.132434
53.038868,675,148.132434
58.630432,229,149.208438
28.634089,229,149.208438
58.404057,621,149.470437
51.470642,621,149.470437
61.09453,675,149.503437
92.884445,675,149.504435
87.12277,675,149.565435
66.29817,675,149.565435
56.993656,675,149.700434
50.324627,675,149.700434
55.606155,675,149.997437
68.419914,675,149.997437
116.95837,675,150.499436
41.104607,675,150.500435
90.46174,675,151.264434
52.4675,675,151.264434
57.644215,675,151.509434
99.2099,675,151.509434
20.011663,259,151.524459
20.35831,259,151.524459
0.0,1,151.524459
0.0,1,151.524459
42.7184,675,151.603435
64.41028,675,151.603435
11.706566,179,152.304522
48.904053,179,152.304522
70.24057,675,153.095522
60.392178,675,153.095522
40.02041,485,153.463521
77.29808,485,153.463521
67.17443,675,153.62852
72.77077,675,153.629523
57.045826,490,153.93952
57.398766,490,153.93952
23.352398,157,154.024521
13.981642,157,154.025522
58.192585,675,154.213521
117.330986,675,154.213521
42.915703,67,154.530521
1.2458202,67,154.530521
63.429264,675,155.212043
42.37699,675,155.212043
94.29972,675,155.485039
65.135124,675,155.485039
19.93428,207,155.64904
32.233383,207,155.64904
59.428337,675,156.365554
70.66089,675,156.365554
28.482103,432,156.444553
74.12363,432,156.444553
11.2739105,151,156.651557
25.118557,151,156.651557
74.81836,675,156.664554
104.98945,675,156.664554
85.90804,675,156.808553
95.23734,675,156.809554
35.268368,675,156.822553
67.320244,675,156.822553
90.02266,675,156.954554
87.0564,675,156.954554
74.09321,675,157.143553
50.033985,675,157.143553
71.73453,675,157.396554
58.842743,675,157.396554
11.185215,136,157.731555
23.660442,136,157.731555
64.60609,675,158.123554
64.988556,675,158.123554
31.146233,125,158.306578
11.167849,125,158.306578
93.47504,510,158.599652
46.43816,510,158.599652
103.59448,675,158.837654
94.72842,675,158.837654
42.664055,362,158.882651
73.609146,362,158.882651
43.03169,70,159.464166
3.3691096,70,159.464166
94.747154,675,159.97468
79.31095,675,159.97468
101.10457,675,160.25368
59.97091,675,160.254679
93.53008,675,160.440681
63.824417,675,160.440681
88.472824,675,160.73368
49.6047,675,160.73368
30.333035,195,161.935196
12.757587,195,161.936194
60.48439,675,161.993195
64.265335,675,161.993195
63.393257,675,162.259193
84.42124,675,162.259193
75.33327,675,162.341193
92.04347,675,162.341193
13.99843,280,162.577195
55.622032,280,162.578197
25.486378,203,162.638195
11.579398,203,162.638195
18.25783,357,162.805193
54.49139,357,162.805193
77.7486,379,162.805193
20.212824,379,162.805193
7.5564127,63,163.270195
20.14799,63,163.270195
47.30594,72,163.738708
3.4042993,72,163.738708
39.77613,462,163.987708
48.611828,462,163.987708
101.08884,675,164.368708
95.73949,675,164.369707
76.07461,675,164.692708
48.016766,675,164.692708
87.41713,675,164.762709
50.08014,675,164.762709
55.413845,675,165.259707
80.824005,675,165.259707
78.32855,675,165.83171
47.016464,675,165.83171
57.84261,675,166.074708
106.96973,675,166.074708
25.340052,220,166.217708
68.43859,220,166.217708
64.52071,390,166.788708
41.755867,390,166.788708
20.680243,201,166.804708
21.59218,201,166.804708
74.363815,675,167.008707
49.483147,675,167.008707
38.618855,675,167.229708
64.66661,675,167.229708
72.63748,675,167.393709
48.45717,675,167.393709
70.30102,675,167.554709
81.61425,675,167.554709
20.429844,345,167.720708
50.192978,345,167.720708
62.15191,372,167.736709
35.3295,372,167.736709
103.1224,675,168.023707
84.55676,675,168.023707
51.283955,675,168.356708
84.03573,675,168.356708
51.266148,675,169.492309
62.510174,675,169.493307
47.280006,675,169.764307
65.763054,675,169.764307
22.791496,184,170.398308
16.182644,184,170.398308
62.06462,651,170.398308
48.358334,651,170.398308
43.95363,675,171.030308
96.66068,675,171.030308
33.513454,184,171.134307
22.652855,184,171.134307
61.273968,675,171.214306
73.85935,675,171.214306
19.973179,411,171.369307
40.46757,411,171.369307
98.733475,675,181.119828
73.350525,675,181.119828
53.45674,434,181.194826
28.656315,434,181.195827
47.514614,336,181.534341
38.26561,336,181.534341
55.652466,675,181.708341
76.596115,675,181.708341
27.585266,134,181.74734
6.406922,134,181.74734
86.908646,675,181.85034
71.510345,675,181.85034
40.629604,675,182.266341
67.80748,675,182.266341
73.19113,675,182.956856
70.93689,675,182.956856
47.452305,675,183.418859
67.734085,675,183.418859
99.7448,619,183.444858
58.036907,619,183.444858
44.040867,532,183.757411
82.09757,532,183.757411
67.601616,675,183.80641
101.651665,675,183.80641
45.0208,351,184.301034
22.933105,351,184.301034
20.701662,68,184.902035
4.5510683,68,184.902035
71.32692,675,185.374032
84.66551,675,185.374032
141.62596,675,185.511032
35.464108,675,185.511032
65.33924,675,186.119032
61.853024,675,186.119032
95.483864,675,186.320055
65.70169,675,186.320055
39.206062,675,186.708032
74.52467,675,186.708032
110.77901,675,186.850034
55.547447,675,186.850034
88.10306,675,187.016032
41.53766,675,187.016032
118.69086,675,187.675032
68.75159,675,187.675032
6.472181,65,187.755033
