#{"t_start": 1625146166.3198357, "env_id": null}
r,l,t
24.548168,196,68.957103
38.680748,290,68.985105
9.749659,290,68.985105
40.050564,179,69.000102
33.397472,179,69.000102
31.373411,577,69.084102
58.153893,577,69.084102
58.11135,675,69.183104
51.068943,675,69.184106
34.06954,305,69.291105
16.503283,305,69.291105
17.246685,326,69.315103
39.434406,326,69.315103
-7.9667225,123,69.346103
15.805547,123,69.346103
41.28206,661,69.561102
39.839783,661,69.561102
41.41065,675,70.079103
37.844883,675,70.079103
41.21147,675,70.899103
47.98117,675,70.899103
32.853626,675,72.856105
35.315384,675,72.856105
17.947186,321,72.900104
41.702705,321,72.900104
26.470985,596,73.130103
69.912125,596,73.130103
51.169056,351,73.266105
15.240428,351,73.266105
39.09216,291,73.458102
10.366868,291,73.458102
11.284799,269,73.610103
27.101233,269,73.611102
14.038486,294,73.723101
32.403748,294,73.723101
40.025223,273,74.524103
12.246079,273,74.525102
-3.6933186,66,74.726102
4.759448,66,74.726102
15.701881,332,75.229104
41.9753,332,75.229104
16.630405,478,75.982692
39.548153,478,75.982692
7.262436,339,75.998694
26.61762,339,75.998694
36.979855,402,76.015694
21.755451,402,76.015694
46.195385,360,76.106693
15.814334,360,76.106693
-3.7911017,67,76.385693
15.346562,67,76.386692
17.931032,586,76.516691
32.56691,586,76.516691
34.88339,230,76.678209
7.8698378,230,76.678209
62.402702,635,76.956209
32.028854,635,76.956209
-3.0763288,233,76.973209
6.8178267,233,76.973209
29.963518,468,77.077209
40.99907,468,77.077209
47.578625,447,77.14821
23.455906,447,77.14821
34.056866,280,77.47321
12.989497,280,77.47321
3.0002155,477,77.633209
25.169003,477,77.633209
4.1615615,268,77.92121
12.667863,268,77.92121
28.99776,584,78.427277
44.32299,584,78.427277
53.67584,675,79.077794
38.052948,675,79.077794
55.72758,563,79.245796
25.528322,563,79.245796
29.450388,675,79.274794
38.066513,675,79.274794
-7.098497,139,79.336797
19.18011,139,79.336797
32.9376,187,79.694795
12.123208,187,79.694795
21.366524,675,79.777796
29.836584,675,79.777796
34.643444,239,79.857796
8.806764,239,79.857796
28.22107,566,80.217796
35.487034,566,80.217796
