#{"t_start": 1625160524.0228438, "env_id": null}
r,l,t
-2.8536556,675,73.160378
47.656822,492,73.387379
18.534342,492,73.387379
25.642155,273,73.657897
28.19714,273,73.657897
65.19096,675,74.529898
23.839895,675,74.529898
37.65496,213,74.657897
8.740388,213,74.657897
56.85449,541,74.657897
38.836746,541,74.657897
40.551456,463,74.822898
29.68128,463,74.822898
52.766064,675,75.062898
38.054092,675,75.062898
9.016255,246,75.219897
27.130636,246,75.219897
27.38274,512,75.277896
55.155647,512,75.277896
81.059715,597,75.388897
35.40873,597,75.388897
34.225567,90,75.804897
6.1308484,90,75.804897
16.822247,192,77.111441
24.359383,192,77.111441
39.20569,675,78.033332
51.420895,675,78.033332
46.43334,675,78.299333
53.073666,675,78.299333
29.813408,675,78.726332
40.743645,675,78.726332
-5.0818834,66,78.759332
7.410131,66,78.759332
30.423176,156,78.949332
3.6074276,156,78.949332
29.174662,447,78.965332
44.548073,447,78.966331
-2.471357,151,79.280332
19.172503,151,79.280332
7.6368613,288,79.490331
24.774117,288,79.490331
-6.005391,67,79.558331
15.435284,67,79.558331
77.30556,590,79.692332
25.466278,590,79.693331
9.879399,342,79.76333
26.37212,342,79.76333
23.538347,482,81.344366
38.56144,482,81.344366
25.275951,620,81.975365
75.06411,620,81.975365
25.743025,130,81.975365
8.691094,130,81.975365
40.674026,675,82.760366
28.154287,675,82.760366
8.70497,359,83.621401
19.277924,359,83.621401
33.96555,549,83.883402
23.01257,549,83.883402
58.96286,675,84.613403
59.8629,675,84.613403
26.996668,675,85.072919
40.717278,675,85.072919
-3.4182172,70,85.216919
13.854643,70,85.216919
35.52965,261,85.43892
12.65722,261,85.43892
60.713486,675,85.47192
65.77518,675,85.47292
29.412748,245,85.49692
15.014086,245,85.49692
36.463966,299,85.732921
15.863195,299,85.732921
14.3959,428,85.89292
41.07032,428,85.89292
29.701164,278,86.22092
26.322361,278,86.22092
25.308006,310,86.301919
23.127283,310,86.301919
36.5944,212,86.440919
13.061531,212,86.440919
14.67387,67,88.043012
6.1641207,67,88.043012
18.60452,361,88.061009
42.96514,361,88.061009
55.531715,564,88.396054
30.824501,564,88.396054
9.571676,279,88.396054
38.005512,279,88.396054
-3.6493964,213,88.872054
25.606842,213,88.872054
